
WARNING 2018-09-25 19:06:05,191 - unpack requires a string argument of length 2
WARNING 2018-09-25 19:07:31,144 - unpack requires a string argument of length 2
WARNING 2018-09-25 19:30:18,009 - unpack requires a string argument of length 2
WARNING 2018-09-25 19:30:18,010 - unsupported operand type(s) for +: 'int' and 'NoneType'
WARNING 2018-09-25 19:30:18,010 - unsupported operand type(s) for +: 'int' and 'NoneType'
WARNING 2018-09-27 01:31:41,161 - unpack requires a string argument of length 2
WARNING 2018-09-27 01:31:41,176 - unpack requires a string argument of length 2
WARNING 2018-09-27 01:31:41,176 - unpack requires a string argument of length 2
WARNING 2018-09-27 01:32:23,599 - unpack requires a string argument of length 2
WARNING 2018-09-27 01:32:23,601 - unpack requires a string argument of length 2
WARNING 2018-09-27 01:32:23,601 - unpack requires a string argument of length 2
WARNING 2018-10-02 19:27:30,048 - unpack requires a string argument of length 2
WARNING 2018-10-02 19:27:30,072 - unsupported operand type(s) for +: 'int' and 'NoneType'
WARNING 2018-10-02 19:27:30,072 - unsupported operand type(s) for +: 'int' and 'NoneType'
